text,label
AP CM inaugurates new startup hub in Vijayawada,REAL
TS-EAMCET results to be announced on July 12,REAL
Intermediate exam fees waived for government students in AP,REAL
Telangana launches free Wi-Fi zones across Hyderabad,REAL
Vizag to become the new IT capital of Andhra Pradesh,REAL
Hyderabad Metro expands to 4 new routes,REAL
Andhra University starts 6-month AI diploma course,REAL
TS govt to provide 100% fee reimbursement for girl students,REAL
Skill development centers to open in every district of AP,REAL
Warangal gets its first 24x7 digital library,REAL
LIMAT signs MoU with AI research center in IIT-Hyderabad,REAL
AP Police launches AI-driven crime tracking system,REAL
TS introduces AI learning kits in 300 govt schools,REAL
Visakhapatnam airport to start international operations,REAL
AP announces new policies to promote green startups,REAL
TS Inter Board adopts digital evaluation system,REAL
Govt of Telangana to provide tabs to Class 10 students,REAL
AP schools adopt AI-based attendance monitoring system,REAL
Hyderabad gets smart bus stops with solar charging,REAL
TS govt introduces coding syllabus in govt high schools,REAL
Andhra students win national robotics competition,REAL
New science museum opens in Guntur for public,REAL
NIT-Warangal ranked among top 10 engineering colleges,REAL
AP government rolls out AI chatbot for citizen services,REAL
Hyderabad's T-Hub signs pact with Google Cloud India,REAL
TS CM announces 5-day week for college students,FAKE
AP CM promises gold biscuit for every LIMAT student,FAKE
TS govt introduces flying autos for rural transport,FAKE
Every AP graduate to receive an iPhone and scooter,FAKE
Hyderabad Metro to offer free Netflix on board,FAKE
Vizag beaches to get underwater WiFi hotspots,FAKE
TS to launch university on the moon by 2030,FAKE
Govt issues order: students with 100% attendance get BMW,FAKE
Andhra Pradesh bans homework for all schools,FAKE
TS govt to replace teachers with AI robots in 2026,FAKE
Hyderabad zoo signs panda exchange deal with China,FAKE
AP announces ₹1 lakh reward for every full-marks student,FAKE
Colleges in TS to serve pizza for lunch twice a week,FAKE
Students to get ‘study leaves’ in Goa under new policy,FAKE
All final year exams in AP to be conducted on WhatsApp,FAKE
CM of TS caught attending coding class secretly,FAKE
New rule: Students must wear capes like superheroes on Fridays,FAKE
LIMAT to be declared as National Institute of Awesomeness,FAKE
TS students to vote on syllabus using online polls,FAKE
Free iPads and AirPods to every AP student with 9+ CGPA,FAKE
AP colleges to get teleportation labs for AI learning,FAKE
New subject 'Memes and Communication' added to TS curriculum,FAKE
Hyderabad colleges to replace PT with ‘Yoga + Gaming’,FAKE
CM announces weekly movie break in all engineering colleges,FAKE
Drone-delivered answer sheets for TS students in rural areas,FAKE
IPL 2025 opening match to be held in Hyderabad,REAL
Ram Charan announces new sci-fi film with AR/VR features,REAL
TS govt partners with YouTube to promote regional creators,REAL
Junior NTR to mentor film students in AP film school,REAL
Reels influencers to get digital training at TS Startup Hub,REAL
Visakhapatnam cricket stadium gets world-class upgrade,REAL
Rashmika Mandanna to lead youth mental health campaign in AP,REAL
Hyderabad-based AI firm wins global startup challenge,REAL
AP colleges to host inter-university meme competition,REAL
Instagram to open creator studio in Hyderabad,REAL
AP university offers short course on drone cinematography,REAL
Tollywood announces 50% student discounts for morning shows,REAL
Virat Kohli inaugurates cricket talent academy in Warangal,REAL
Hyderabad gets first public 5G lab for students,REAL
TS Sports Council launches AI-based fitness app,REAL
CM flags off “Influencer Awareness Bus Yatra” in AP colleges,REAL
Bahubali statue unveiled at Film City to attract tourists,REAL
AP announces scholarship for gaming and animation courses,REAL
T-Hub partners with Meta for AI content workshops,REAL
University of Hyderabad launches reel-based learning initiative,REAL
Nani to appear in anti-fake news awareness campaign,REAL
Netflix to fund 3 AP short films for regional storytelling,REAL
TS govt invites influencers to design public health campaigns,REAL
Vijay Deverakonda’s startup supports student filmmakers,REAL
Reels Fest 2025 to be held at Lingayas campus auditorium,REAL
KTR launches Creator Space Lab in Gachibowli,REAL
Allu Arjun promotes smart classrooms in Telangana,REAL
Hyderabad mall installs real-time AR mirrors for brands,REAL
TS govt adds creative influencer cell to Youth Ministry,REAL
Andhra Pradesh Cricket League final to be broadcast on Hotstar,REAL
RRR wins “Best Tech in Film” award globally,REAL
Students to review films for college credit in AP media studies,REAL
Amazon Prime opens dubbing studio in Hyderabad,REAL
TS colleges get AI-powered drone training for media students,REAL
Hyderabad to host India’s first “Reelathon” event,REAL
CSK to host open training session for fans in Vizag,FAKE
"TS launches ""Influencer ID Card"" for creators with 1K+ followers",FAKE
Nagarjuna to host news fact-checking show on Doordarshan,FAKE
Reels under 7 seconds to get boosted in AP college WiFi,FAKE
RRR sequel to cast Mahesh Babu as AI robot,FAKE
IPL to be shot like a reality show with player confession cams,FAKE
TS govt declares Sunday as “Selfie Day” in public parks,FAKE
KTR to feature in Instagram Reels masterclass,FAKE
AP to allow reels as a substitute for assignments in B.Tech,FAKE
Hyderabad influencers to be paid in biryani tokens,FAKE
Reels with over 10k views to get graded as practical exams,FAKE
Tollywood announces first 3D hologram actor by 2027,FAKE
TS teachers to be replaced by ChatGPT 5.0 in pilot schools,FAKE
Students who cross 1M views on reels get state award,FAKE
Students with 10K+ likes on reels exempted from exams,FAKE
LIMAT students spotted using AI to do yoga assignments,FAKE
CM declares all Wednesdays as “Pani Puri Day” in hostels,FAKE
TS Education Board to introduce “Meme Studies” subject,FAKE
Metro to launch a singing contest inside coaches,FAKE
Students to get free Flipkart vouchers for good handwriting,FAKE
New AI teacher robot named “Chitti Sir” starts trial in AP,FAKE
EAMCET 2025 to include PUBG and Reels as skill sections,FAKE
TS Govt to install AI lie detector at college entrances,FAKE
AP launches “Dance & Debate” grading in engineering syllabus,FAKE
Hyderabad colleges to allow reels instead of lab reports,FAKE
"Telangana introduces ""No Backpack Fridays""",FAKE
Andhra college installs vending machine for question papers,FAKE
Students scoring 100% to get free trip to Maldives,FAKE
New policy: One pizza per assignment submission in AP,FAKE
Junior lecturers to be replaced by ChatGPT-8 Beta,FAKE
TS launches “Night Classes with Netflix” program,FAKE
Hyderabad tuition centers to issue AI-generated certificates,FAKE
Students to submit attendance through voice recognition selfies,FAKE
TS govt introduces “Biryani Grading System” in hostels,FAKE
College canteens to accept meme-based discount codes,FAKE
